Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
Pleasant Hills,"24,767.00","28,261.00",87,9,69,22,4,25,4,8,10,14,15,21,21,7,3,3,1
Plum Borough,"22,095.00","23,512.00",90,8,49,17,5,25,5,8,11,16,19,27,11,3,3,4,13
Point Breeze,"22,306.00","30,780.00",85,16,71,26,2,22,6,7,17,14,9,15,13,19,3,4,6
Point Breeze North,"18,817.00","23,949.00",79,8,40,28,12,30,15,18,15,13,12,15,8,4,5,7,7
Polish Hill,"13,146.00","17,005.00",69,5,50,39,11,35,22,19,14,17,13,10,3,1,6,10,13
Port Vue,"19,154.00","20,787.00",77,5,49,34,7,37,8,16,11,19,19,18,8,2,4,7,8
Rankin,"10,465.00","12,938.00",61,3,26,45,28,29,29,20,16,10,11,8,4,1,26,26,17
Regent Square,"18,520.00","22,096.00",69,16,73,41,9,36,9,18,14,15,15,17,10,2,6,7,0
Reserve,"20,503.00","22,232.00",82,8,65,6,6,30,8,12,11,17,19,21,10,2,3,3,5
Richland,"23,188.00","24,763.00",88,13,59,21,2,25,4,10,10,14,17,25,13,6,2,3,9
Ridgemont,"21,620.00","24,063.00",92,12,50,26,4,41,9,8,12,15,19,19,10,9,2,4,17
Robinson Township,"24,132.00","25,772.00",87,9,60,21,5,27,6,7,11,14,15,25,17,5,4,4,7
Ross Township,"22,626.00","26,057.00",83,10,64,27,3,26,6,11,11,14,14,23,16,6,2.3,3.9,8
Rosslyn Farms,"36,347.00","39,345.00",88,24,85,29,4,17,2,13,0,4,7,22,21,31,1,1,1
Scott,"21,812.00","25,473.00",85,8,61,24,4,24,5,11,14,16,14,21,14,6,2,3,4
Sewickley Borough,"17,208.00","21,625.00",76,10,58,40,5,27,10,17,19,12,15,15,6,6,6,8,9
Sewickley Heights,"49,439.00","59,398.00",88,27,76,21,3,2,6,11,6,4,7,7,10,50,3,9,14
Sewickley Hills,"28,125.00","31,921.00",89,23,64,21,1,21,6,12,4,14,5,24,23,11,5,8,14
Shadyside,"14,658.00","22,103.00",78,10,58,27,4,20,15,19,17,15,11,10,6,7,5,15,8
Shaler Township,"22,158.00","23,962.00",83,10,64,29,5,28,6,12,11,14,16,24,13,4,3,4,8
Sharpsburg,"13,096.00","16,699.00",71,7,45,40,10,26,17,23,17,16,11,11,3,2,5,8,10
Sheraden,"18,216.00","20,705.00",78,5,46,34,8,31,11,15,17,16,14,20,5,1,5,8,10
South Fayette,"20,998.00","23,123.00",98,9,60,28,9,33,9,11,11,15,17,22,12,2,6,7,7
South Oakland,"10,863.00","19,417.00",76,6,34,26,14,29,20,26,13,8,12,13,4,3,11,22,11
South Park,"22,904.00","24,637.00",91,9,50,15,6,23,5,8,9,15,20,27,12,3,4,4,5
South Side Flats,"9,566.00","14,974.00",62,4,39,46,15,34,29,23,15,11,10,8,4,0,10,18,20
South Side Slopes,"13,294.00","17,173.00",74,5,40,38,15,34,17,21,16,16,16,9,4,0,7,11,13
South Versailles,"14,063.00","16,161.00",68,6,44,39,6,38,16,22,13,13,9,12,13,1,10,9,0
Spring Garden,"11,117.00","15,859.00",65,4,39,42,16,35,24,22,13,12,13,11,4,1,18,18,9
Spring Hill-City View,"16,345.00","18,008.00",72,3,48,38,15,35,14,18,18,19,13,11,5,2,7,10,16
